cell_id,tel_traffic,traffic,user_num,date
1057,561.3395,9608.0579,0,2019-08-22 06:07:47
1415,763.0276,9702.6776,848,2019-08-20 16:08:24
1016,831.8368,4203.5542,449,2019-08-21 14:01:13
1428,972.6578,9521.4779,391,2019-08-21 08:57:53
1467,752.5743,5969.0998,72,2019-08-22 01:57:57
1254,754.1028,8138.2715,148,2019-08-21 02:51:49
1255,856.9984,4088.5275,964,2019-08-20 08:19:36
1885,367.7599,2528.1526,874,2019-08-21 21:38:16
1393,203.4298,6089.6099,811,2019-08-21 13:11:08
1767,993.1057,7832.4304,544,2019-08-21 04:24:19
1020,51.9127,9232.31,785,2019-08-21 12:01:17
1542,277.0353,1960.0949,763,2019-08-20 20:56:14
1384,481.1479,9912.2685,267,2019-08-20 20:30:26
1390,808.272,5329.5984,483,2019-08-20 10:05:39
1334,266.7346,9744.8124,507,2019-08-21 01:14:58
1834,938.9638,3206.2892,343,2019-08-21 17:14:27
1026,956.2619,1559.4017,830,2019-08-22 05:16:53
1001,111.4801,4000.9821,19,2019-08-22 06:05:24
1498,586.7569,9212.0272,293,2019-08-21 17:20:38
1138,772.0903,9953.5629,900,2019-08-21 05:32:00
1097,938.3879,8441.2246,932,2019-08-22 03:21:43
1622,962.8441,9757.4321,29,2019-08-20 07:33:18
1493,661.8324,3995.498,785,2019-08-21 13:10:42
1080,318.4674,4694.6377,327,2019-08-20 16:11:09
1625,197.6277,5148.8814,253,2019-08-21 09:31:43
1038,236.2825,9399.4393,331,2019-08-21 15:57:30
1232,292.5287,4122.5436,211,2019-08-21 12:41:40
1621,922.9334,4717.6022,721,2019-08-20 15:57:32
1942,867.4767,2343.8389,796,2019-08-20 23:57:41
1551,434.3916,6251.1022,615,2019-08-20 15:23:30
1493,766.8643,3625.5907,854,2019-08-20 17:46:40
1698,235.2955,3720.01,93,2019-08-21 02:19:42
1899,71.0953,8821.4591,822,2019-08-21 17:39:25
1429,0.7761,5246.471,994,2019-08-21 23:12:19
1216,134.1313,7177.2953,780,2019-08-22 01:33:22
1873,138.2125,9772.7553,392,2019-08-21 04:00:53
1343,3.574,5251.6302,944,2019-08-21 14:07:59
1499,430.5148,6576.9025,968,2019-08-20 09:00:36
1395,875.6731,5197.468,1000,2019-08-21 22:04:30
1158,938.0881,1212.4824,878,2019-08-20 16:07:14
1694,164.7228,7116.8412,659,2019-08-20 11:15:31
1377,153.3151,9140.3965,759,2019-08-20 10:32:24
1427,79.7977,1974.2632,637,2019-08-20 10:03:43
1021,220.5814,9130.2794,519,2019-08-20 20:09:40
1148,610.8546,5692.5612,789,2019-08-21 03:41:54
1992,523.4222,3127.1661,259,2019-08-21 16:20:14
1889,100.9998,9441.8204,264,2019-08-21 08:16:23
1582,681.2881,7300.8233,36,2019-08-21 06:55:48
1068,74.7625,4537.9861,222,2019-08-21 09:27:31
1959,246.785,3401.3468,942,2019-08-21 13:11:28
1528,627.2481,3877.0469,369,2019-08-20 14:03:49
1287,641.3844,2064.6077,738,2019-08-22 06:13:16
1343,891.0739,5020.3416,961,2019-08-21 09:48:26
1161,161.5108,4641.2565,723,2019-08-20 21:56:28
1854,409.3133,8799.6388,656,2019-08-20 17:47:47
1587,599.1512,6273.6728,292,2019-08-20 08:03:38
1101,492.646,4292.5263,534,2019-08-20 21:31:58
1971,19.2696,5876.0377,294,2019-08-20 19:04:05
1534,422.9165,9124.7881,672,2019-08-21 18:25:11
1571,504.2251,1165.049,30,2019-08-20 17:38:15
1220,833.9959,6429.0614,877,2019-08-20 09:11:56
1677,959.3605,4351.4874,235,2019-08-20 12:27:54
1549,562.7427,2214.8661,887,2019-08-21 02:39:38
1802,971.676,1902.1772,871,2019-08-21 04:30:24
1795,145.8168,5178.8908,763,2019-08-20 18:11:38
1583,242.0225,7503.9536,416,2019-08-21 07:55:17
1518,168.247,8887.3924,71,2019-08-21 11:01:17
1192,110.4045,8074.0055,114,2019-08-21 05:34:17
1812,569.6244,5184.6789,193,2019-08-21 21:08:16
1426,679.6234,9454.6899,707,2019-08-21 14:00:05
1965,238.2064,5554.5226,727,2019-08-21 15:54:35
1797,944.3935,8685.1821,44,2019-08-21 00:56:59
1032,315.1278,6925.9089,931,2019-08-21 10:36:05
1081,52.3717,8138.1292,123,2019-08-21 04:45:50
1730,497.3658,7623.4332,963,2019-08-21 04:47:28
1027,390.1184,1457.2944,543,2019-08-21 15:45:44
